iter	Passed	Remaining
0	148	147918
1	149	74684
2	151	50215
3	152	37965
4	153	30604
5	155	25688
6	157	22279
7	159	19758
8	161	17743
9	163	16162
10	164	14817
11	166	13686
12	167	12731
13	169	11911
14	170	11211
15	172	10630
16	174	10101
17	176	9607
18	177	9171
19	179	8776
20	180	8416
21	182	8091
22	183	7802
23	185	7527
24	187	7314
25	189	7085
26	190	6871
27	192	6668
28	193	6479
29	195	6307
30	196	6146
31	198	5994
32	199	5857
33	201	5738
34	203	5616
35	205	5492
36	207	5390
37	208	5285
38	210	5185
39	212	5091
40	213	4998
41	217	4954
42	218	4870
43	220	4788
44	222	4711
45	223	4637
46	225	4567
47	226	4497
48	228	4433
49	230	4388
50	232	4328
51	234	4272
52	235	4216
53	237	4158
54	241	4152
55	273	4610
56	282	4669
57	285	4630
58	286	4575
59	288	4519
60	289	4461
61	291	4407
62	299	4457
63	301	4408
64	302	4357
65	304	4307
66	306	4262
67	311	4266
68	312	4221
69	314	4175
70	315	4132
71	317	4089
72	318	4049
73	320	4006
74	321	3964
75	325	3962
76	327	3924
77	328	3887
78	330	3849
79	331	3812
80	332	3776
81	334	3740
82	334	3699
83	336	3666
84	341	3670
85	342	3639
86	343	3607
87	345	3577
88	346	3548
89	347	3518
90	349	3488
91	350	3460
92	351	3432
93	356	3434
94	357	3407
95	358	3380
96	360	3353
97	361	3327
98	362	3302
99	364	3279
100	365	3254
101	367	3232
102	371	3238
103	373	3219
104	375	3198
105	376	3175
106	377	3153
107	379	3131
108	380	3110
109	383	3101
110	385	3087
111	386	3066
112	388	3046
113	389	3028
114	390	3008
115	392	2989
116	393	2970
117	395	2954
118	401	2971
119	402	2955
120	404	2941
121	406	2927
122	410	2923
123	417	2952
124	420	2941
125	422	2929
126	425	2922
127	429	2924
128	430	2909
129	435	2915
130	437	2899
131	438	2883
132	439	2867
133	441	2852
134	442	2837
135	444	2822
136	445	2807
137	450	2813
138	452	2800
139	453	2786
140	455	2772
141	456	2755
142	457	2741
143	458	2727
144	460	2713
145	465	2720
146	466	2707
147	467	2693
148	469	2680
149	470	2668
150	472	2655
151	473	2642
152	475	2629
153	476	2616
154	481	2625
155	483	2614
156	484	2601
157	485	2589
158	487	2578
159	488	2566
160	489	2552
161	491	2541
162	497	2554
163	499	2544
164	500	2532
165	501	2521
166	503	2510
167	504	2498
168	505	2487
169	509	2485
170	511	2477
171	512	2467
172	514	2458
173	516	2449
174	517	2441
175	519	2433
176	522	2429
177	525	2424
178	526	2414
179	527	2403
180	529	2394
181	530	2384
182	531	2374
183	533	2365
184	534	2355
185	536	2349
186	538	2341
187	540	2332
188	541	2324
189	543	2315
190	544	2306
191	545	2297
192	547	2288
193	548	2279
194	550	2270
195	553	2268
196	554	2261
197	574	2326
198	576	2320
199	578	2314
200	580	2306
201	581	2297
202	583	2291
203	585	2282
204	586	2274
205	587	2265
206	589	2258
207	590	2249
208	592	2241
209	593	2232
210	594	2224
211	596	2216
212	598	2210
213	599	2203
214	601	2195
215	602	2187
216	604	2179
217	605	2171
218	606	2164
219	608	2157
220	609	2149
221	611	2141
222	613	2136
223	615	2132
224	617	2125
225	618	2118
226	619	2110
227	621	2103
228	622	2095
229	624	2089
230	625	2082
231	627	2075
232	628	2070
233	630	2063
234	632	2057
235	633	2050
236	634	2044
237	636	2037
238	637	2031
239	639	2024
240	641	2019
241	643	2016
242	645	2010
243	646	2004
244	648	1997
245	649	1991
246	651	1984
247	652	1978
248	653	1972
249	655	1966
250	656	1959
251	658	1955
252	660	1949
253	661	1942
254	662	1936
255	664	1930
256	665	1923
257	666	1917
258	668	1912
259	669	1906
260	671	1900
261	672	1895
262	674	1890
263	676	1884
264	677	1879
265	679	1874
266	680	1868
267	681	1862
268	683	1856
269	684	1851
270	686	1845
